"事件時間","事件細目"
"2024-09-01T11:50:25Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T12:54:24Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-01T23:19:37Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-02T05:06:51Z","{""機器人數量"":15,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T22:15:37Z","{""服務項目"":""POS"",""機器人數量"":4,""部門"":"台中"}"
"2024-09-02T22:18:37Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T08:53:37Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T10:07:37Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T12:08:51Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-02T16:08:27Z","{""服務項目"":""POS"",""機器人數量"":3,""部門"":"台中"}"
"2024-09-04T10:08:37Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-02T04:42:27Z","{""服務項目"":""POS"",""機器人數量"":19,""部門"":"台中"}"
"2024-09-04T12:29:51Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-04T16:03:27Z","{""服務項目"":""POS"",""機器人數量"":3,""部門"":"台中"}"
"2024-09-02T07:06:37Z","{""服務項目"":""POS"",""機器人數量"":4,""部門"":"台中"}"
"2024-09-03T03:08:37Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-04T04:58:51Z","{""服務項目"":""POS"",""機器人數量"":14,""部門"":"台中"}"
"2024-09-05T09:34:37Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T12:21:51Z","{""服務項目"":""POS"",""機器人數量"":13,""部門"":"台中"}"
"2024-09-04T05:52:51Z","{""服務項目"":""POS"",""機器人數量"":5,""部門"":"台中"}"
"2024-09-05T12:04:51Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T06:02:51Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-02T03:31:37Z","{""服務項目"":""POS"",""機器人數量"":11,""部門"":"台中"}"
"2024-09-02T03:33:37Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-02T03:34:37Z","{""服務項目"":""POS"",""機器人數量"":13,""部門"":"台中"}"
"2024-09-04T09:24:38Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T00:02:38Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-01T00:03:37Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T05:40:51Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T23:04:37Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-05T12:41:27Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T00:24:41Z","{""服務項目"":""POS"",""機器人數量"":13,""部門"":"台中"}"
"2024-09-07T06:44:11Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-03T03:09:37Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T03:57:37Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T10:01:37Z","{""服務項目"":""POS"",""機器人數量"":10,""部門"":"台中"}"
"2024-09-03T05:19:51Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T09:55:37Z","{""服務項目"":""POS"",""機器人數量"":10,""部門"":"台中"}"
"2024-09-07T12:46:11Z","{""服務項目"":""POS"",""機器人數量"":10,""部門"":"台中"}"
"2024-09-04T03:15:37Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T03:18:37Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T06:06:51Z","{""服務項目"":""POS"",""機器人數量"":4,""部門"":"台中"}"
"2024-09-01T06:05:51Z","{""服務項目"":""POS"",""機器人數量"":15,""部門"":"台中"}"
"2024-09-05T07:38:27Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T10:05:37Z","{""服務項目"":""POS"",""機器人數量"":10,""部門"":"台中"}"
"2024-09-03T10:06:37Z","{""服務項目"":""POS"",""機器人數量"":11,""部門"":"台中"}"
"2024-09-06T13:23:27Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T10:29:37Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-01T09:03:37Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T05:07:51Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T05:18:51Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T22:04:37Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T22:05:37Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T12:53:51Z","{""服務項目"":""POS"",""機器人數量"":5,""部門"":"台中"}"
"2024-09-04T03:46:37Z","{""服務項目"":""POS"",""機器人數量"":14,""部門"":"台中"}"
"2024-09-03T15:00:27Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T06:31:51Z","{""服務項目"":""POS"",""機器人數量"":11,""部門"":"台中"}"
"2024-09-04T07:00:27Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T09:22:38Z","{""服務項目"":""POS"",""機器人數量"":7,""部門"":"台中"}"
"2024-09-06T06:02:51Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T04:16:38Z","{""服務項目"":""POS"",""機器人數量"":20,""部門"":"台中"}"
"2024-09-06T16:58:47Z","{""機器人數量"":2,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T08:39:37Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T12:38:51Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-03T08:56:37Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T05:59:24Z","{""機器人數量"":16,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T03:34:38Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-06T04:50:51Z","{""服務項目"":""POS"",""機器人數量"":17,""部門"":"台中"}"
"2024-09-04T01:00:27Z","{""服務項目"":""POS"",""機器人數量"":10,""部門"":"台中"}"
"2024-09-02T22:34:37Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T12:23:27Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T05:36:51Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T16:18:47Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T05:58:51Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T04:08:37Z","{""服務項目"":""POS"",""機器人數量"":16,""部門"":"台中"}"
"2024-09-02T04:09:37Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T05:30:51Z","{""服務項目"":""POS"",""機器人數量"":10,""部門"":"台中"}"
"2024-09-07T14:01:11Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T01:35:27Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-04T04:52:51Z","{""服務項目"":""POS"",""機器人數量"":15,""部門"":"台中"}"
"2024-09-06T05:14:51Z","{""服務項目"":""POS"",""機器人數量"":13,""部門"":"台中"}"
"2024-09-07T09:16:41Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T13:03:27Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T12:16:51Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-07T09:43:41Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T05:24:51Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T13:29:51Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-02T23:04:37Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-06T10:06:37Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T01:57:27Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T00:44:37Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-01T00:46:37Z","{""服務項目"":""POS"",""機器人數量"":13,""部門"":"台中"}"
"2024-09-06T05:26:51Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T07:49:37Z","{""機器人數量"":4,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T09:16:38Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T04:05:38Z","{""服務項目"":""POS"",""機器人數量"":15,""部門"":"台中"}"
"2024-09-05T04:07:37Z","{""服務項目"":""POS"",""機器人數量"":16,""部門"":"台中"}"
"2024-09-05T04:08:37Z","{""服務項目"":""POS"",""機器人數量"":17,""部門"":"台中"}"
"2024-09-04T09:08:37Z","{""服務項目"":""POS"",""機器人數量"":7,""部門"":"台中"}"
"2024-09-04T05:16:51Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T05:50:51Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T05:34:51Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-07T05:49:47Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T10:34:37Z","{""服務項目"":""POS"",""機器人數量"":13,""部門"":"台中"}"
"2024-09-05T09:57:37Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T08:12:37Z","{""服務項目"":""POS"",""機器人數量"":4,""部門"":"台中"}"
"2024-09-06T10:33:37Z","{""服務項目"":""POS"",""機器人數量"":16,""部門"":"台中"}"
"2024-09-02T00:02:37Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T11:06:37Z","{""服務項目"":""POS"",""機器人數量"":17,""部門"":"台中"}"
"2024-09-04T11:56:27Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-07T12:58:11Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T03:15:37Z","{""服務項目"":""POS"",""機器人數量"":11,""部門"":"台中"}"
"2024-09-03T09:37:37Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-03T12:14:51Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T08:58:37Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T22:07:37Z","{""服務項目"":""POS"",""機器人數量"":4,""部門"":"台中"}"
"2024-09-06T05:20:51Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T12:52:11Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-07T08:41:41Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-07T06:32:11Z","{""服務項目"":""POS"",""機器人數量"":11,""部門"":"台中"}"
"2024-09-02T09:39:37Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T04:46:27Z","{""服務項目"":""POS"",""機器人數量"":16,""部門"":"台中"}"
"2024-09-07T11:58:11Z","{""服務項目"":""POS"",""機器人數量"":18,""部門"":"台中"}"
"2024-09-02T03:42:37Z","{""服務項目"":""POS"",""機器人數量"":15,""部門"":"台中"}"
"2024-09-03T22:28:37Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-06T12:36:51Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T10:04:37Z","{""服務項目"":""POS"",""機器人數量"":13,""部門"":"台中"}"
"2024-09-03T22:53:37Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T05:46:51Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T22:22:41Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T01:30:51Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T06:02:11Z","{""服務項目"":""POS"",""機器人數量"":16,""部門"":"台中"}"
"2024-09-07T12:22:11Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T03:33:38Z","{""機器人數量"":12,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T12:40:11Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T14:20:48Z","{""服務項目"":""POS"",""機器人數量"":4,""部門"":"台中"}"
"2024-09-05T09:54:38Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T23:42:38Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-02T05:12:51Z","{""服務項目"":""POS"",""機器人數量"":14,""部門"":"台中"}"
"2024-09-06T05:32:51Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T03:37:37Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T03:38:37Z","{""服務項目"":""POS"",""機器人數量"":14,""部門"":"台中"}"
"2024-09-07T09:46:41Z","{""機器人數量"":15,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T12:24:27Z","{""服務項目"":""POS"",""機器人數量"":13,""部門"":"台中"}"
"2024-09-03T12:47:51Z","{""機器人數量"":5,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T12:10:51Z","{""服務項目"":""POS"",""機器人數量"":9,""部門"":"台中"}"
"2024-09-03T12:02:51Z","{""機器人數量"":10,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T05:56:11Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T15:59:27Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T00:10:37Z","{""服務項目"":""POS"",""機器人數量"":10,""部門"":"台中"}"
"2024-09-05T04:59:51Z","{""服務項目"":""POS"",""機器人數量"":15,""部門"":"台中"}"
"2024-09-05T03:35:37Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-04T22:28:37Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-04T14:42:27Z","{""服務項目"":""POS"",""機器人數量"":4,""部門"":"台中"}"
"2024-09-06T01:36:51Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-06T14:38:27Z","{""服務項目"":""POS"",""機器人數量"":5,""部門"":"台中"}"
"2024-09-04T03:04:37Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-05T17:02:27Z","{""服務項目"":""POS"",""機器人數量"":2,""部門"":"台中"}"
"2024-09-03T04:11:37Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T10:01:41Z","{""機器人數量"":18,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T12:02:51Z","{""機器人數量"":11,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T22:02:37Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T22:05:37Z","{""服務項目"":""POS"",""機器人數量"":4,""部門"":"台中"}"
"2024-09-07T07:02:11Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T06:20:11Z","{""服務項目"":""POS"",""機器人數量"":13,""部門"":"台中"}"
"2024-09-06T12:06:51Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T06:50:11Z","{""機器人數量"":8,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T05:08:51Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T05:04:51Z","{""機器人數量"":13,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T16:09:27Z","{""機器人數量"":3,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-03T12:41:51Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-03T17:04:27Z","{""機器人數量"":2,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T06:08:11Z","{""服務項目"":""POS"",""機器人數量"":15,""部門"":"台中"}"
"2024-09-04T12:35:51Z","{""服務項目"":""POS"",""機器人數量"":8,""部門"":"台中"}"
"2024-09-07T06:56:11Z","{""服務項目"":""POS"",""機器人數量"":7,""部門"":"台中"}"
"2024-09-01T13:07:25Z","{""機器人數量"":6,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T03:53:37Z","{""機器人數量"":15,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T02:47:41Z","{""服務項目"":""POS"",""機器人數量"":15,""部門"":"台中"}"
"2024-09-04T04:06:37Z","{""機器人數量"":17,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-07T11:51:47Z","{""機器人數量"":19,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T05:38:51Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-06T10:32:37Z","{""服務項目"":""POS"",""機器人數量"":15,""部門"":"台中"}"
"2024-09-07T17:11:47Z","{""服務項目"":""POS"",""機器人數量"":2,""部門"":"台中"}"
"2024-09-03T23:24:37Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T01:05:37Z","{""機器人數量"":14,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-01T01:06:37Z","{""服務項目"":""POS"",""機器人數量"":15,""部門"":"台中"}"
"2024-09-04T23:46:37Z","{""服務項目"":""POS"",""機器人數量"":10,""部門"":"台中"}"
"2024-09-07T13:54:48Z","{""服務項目"":""POS"",""機器人數量"":6,""部門"":"台中"}"
"2024-09-05T03:05:37Z","{""服務項目"":""POS"",""機器人數量"":10,""部門"":"台中"}"
"2024-09-07T13:04:11Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-04T05:10:51Z","{""服務項目"":""POS"",""機器人數量"":12,""部門"":"台中"}"
"2024-09-02T03:05:38Z","{""服務項目"":""POS"",""機器人數量"":10,""部門"":"台中"}"
"2024-09-06T12:48:51Z","{""機器人數量"":9,""服務項目"":""POS"",""部門"":"台中"}"
"2024-09-05T22:46:37Z","{""機器人數量"":7,""服務項目"":""POS"",""部門"":"台中"}"
